hidden nodes: 100, learning rate: 0.010000,  L2-weight: 0.100000,  acc=[0.95960]
hidden nodes: 100, learning rate: 0.010000,  L2-weight: 0.030000,  acc=[0.97170]
hidden nodes: 100, learning rate: 0.010000,  L2-weight: 0.010000,  acc=[0.97590]
hidden nodes: 100, learning rate: 0.010000,  L2-weight: 0.003000,  acc=[0.97780]
hidden nodes: 100, learning rate: 0.010000,  L2-weight: 0.000000,  acc=[0.97820]
hidden nodes: 100, learning rate: 0.003000,  L2-weight: 0.100000,  acc=[0.96640]
hidden nodes: 100, learning rate: 0.003000,  L2-weight: 0.030000,  acc=[0.97430]
hidden nodes: 100, learning rate: 0.003000,  L2-weight: 0.010000,  acc=[0.97650]
hidden nodes: 100, learning rate: 0.003000,  L2-weight: 0.003000,  acc=[0.97720]
hidden nodes: 100, learning rate: 0.003000,  L2-weight: 0.000000,  acc=[0.97400]
hidden nodes: 100, learning rate: 0.001000,  L2-weight: 0.100000,  acc=[0.96520]
hidden nodes: 100, learning rate: 0.001000,  L2-weight: 0.030000,  acc=[0.96710]
hidden nodes: 100, learning rate: 0.001000,  L2-weight: 0.010000,  acc=[0.96740]
hidden nodes: 100, learning rate: 0.001000,  L2-weight: 0.003000,  acc=[0.96520]
hidden nodes: 100, learning rate: 0.001000,  L2-weight: 0.000000,  acc=[0.96480]
hidden nodes: 100, learning rate: 0.000300,  L2-weight: 0.100000,  acc=[0.94720]
hidden nodes: 100, learning rate: 0.000300,  L2-weight: 0.030000,  acc=[0.94660]
hidden nodes: 100, learning rate: 0.000300,  L2-weight: 0.010000,  acc=[0.94510]
hidden nodes: 100, learning rate: 0.000300,  L2-weight: 0.003000,  acc=[0.94350]
hidden nodes: 100, learning rate: 0.000300,  L2-weight: 0.000000,  acc=[0.94390]
hidden nodes: 100, learning rate: 0.000100,  L2-weight: 0.100000,  acc=[0.91930]
hidden nodes: 100, learning rate: 0.000100,  L2-weight: 0.030000,  acc=[0.91830]
hidden nodes: 100, learning rate: 0.000100,  L2-weight: 0.010000,  acc=[0.91460]
hidden nodes: 100, learning rate: 0.000100,  L2-weight: 0.003000,  acc=[0.91810]
hidden nodes: 100, learning rate: 0.000100,  L2-weight: 0.000000,  acc=[0.91800]
hidden nodes: 200, learning rate: 0.010000,  L2-weight: 0.100000,  acc=[0.96860]
hidden nodes: 200, learning rate: 0.010000,  L2-weight: 0.030000,  acc=[0.97760]
hidden nodes: 200, learning rate: 0.010000,  L2-weight: 0.010000,  acc=[0.98090]
hidden nodes: 200, learning rate: 0.010000,  L2-weight: 0.003000,  acc=[0.98120]
hidden nodes: 200, learning rate: 0.010000,  L2-weight: 0.000000,  acc=[0.98180]
hidden nodes: 200, learning rate: 0.003000,  L2-weight: 0.100000,  acc=[0.97370]
hidden nodes: 200, learning rate: 0.003000,  L2-weight: 0.030000,  acc=[0.97790]
hidden nodes: 200, learning rate: 0.003000,  L2-weight: 0.010000,  acc=[0.97900]
hidden nodes: 200, learning rate: 0.003000,  L2-weight: 0.003000,  acc=[0.97750]
hidden nodes: 200, learning rate: 0.003000,  L2-weight: 0.000000,  acc=[0.97680]
hidden nodes: 200, learning rate: 0.001000,  L2-weight: 0.100000,  acc=[0.96720]
hidden nodes: 200, learning rate: 0.001000,  L2-weight: 0.030000,  acc=[0.97010]
hidden nodes: 200, learning rate: 0.001000,  L2-weight: 0.010000,  acc=[0.97020]
hidden nodes: 200, learning rate: 0.001000,  L2-weight: 0.003000,  acc=[0.96750]
hidden nodes: 200, learning rate: 0.001000,  L2-weight: 0.000000,  acc=[0.96740]
hidden nodes: 200, learning rate: 0.000300,  L2-weight: 0.100000,  acc=[0.94950]
hidden nodes: 200, learning rate: 0.000300,  L2-weight: 0.030000,  acc=[0.94860]
hidden nodes: 200, learning rate: 0.000300,  L2-weight: 0.010000,  acc=[0.94820]
hidden nodes: 200, learning rate: 0.000300,  L2-weight: 0.003000,  acc=[0.94690]
hidden nodes: 200, learning rate: 0.000300,  L2-weight: 0.000000,  acc=[0.94690]
hidden nodes: 200, learning rate: 0.000100,  L2-weight: 0.100000,  acc=[0.92650]
hidden nodes: 200, learning rate: 0.000100,  L2-weight: 0.030000,  acc=[0.92550]
hidden nodes: 200, learning rate: 0.000100,  L2-weight: 0.010000,  acc=[0.92450]
hidden nodes: 200, learning rate: 0.000100,  L2-weight: 0.003000,  acc=[0.92470]
hidden nodes: 200, learning rate: 0.000100,  L2-weight: 0.000000,  acc=[0.92460]
hidden nodes: 300, learning rate: 0.010000,  L2-weight: 0.100000,  acc=[0.97670]
hidden nodes: 300, learning rate: 0.010000,  L2-weight: 0.030000,  acc=[0.98170]
hidden nodes: 300, learning rate: 0.010000,  L2-weight: 0.010000,  acc=[0.98280]
hidden nodes: 300, learning rate: 0.010000,  L2-weight: 0.003000,  acc=[0.98360]
hidden nodes: 300, learning rate: 0.010000,  L2-weight: 0.000000,  acc=[0.98260]
hidden nodes: 300, learning rate: 0.003000,  L2-weight: 0.100000,  acc=[0.97760]
hidden nodes: 300, learning rate: 0.003000,  L2-weight: 0.030000,  acc=[0.97900]
hidden nodes: 300, learning rate: 0.003000,  L2-weight: 0.010000,  acc=[0.98030]
hidden nodes: 300, learning rate: 0.003000,  L2-weight: 0.003000,  acc=[0.97990]
hidden nodes: 300, learning rate: 0.003000,  L2-weight: 0.000000,  acc=[0.97900]
hidden nodes: 300, learning rate: 0.001000,  L2-weight: 0.100000,  acc=[0.97300]
hidden nodes: 300, learning rate: 0.001000,  L2-weight: 0.030000,  acc=[0.97230]
hidden nodes: 300, learning rate: 0.001000,  L2-weight: 0.010000,  acc=[0.97200]
hidden nodes: 300, learning rate: 0.001000,  L2-weight: 0.003000,  acc=[0.97060]
hidden nodes: 300, learning rate: 0.001000,  L2-weight: 0.000000,  acc=[0.97010]
hidden nodes: 300, learning rate: 0.000300,  L2-weight: 0.100000,  acc=[0.95120]
hidden nodes: 300, learning rate: 0.000300,  L2-weight: 0.030000,  acc=[0.94730]
hidden nodes: 300, learning rate: 0.000300,  L2-weight: 0.010000,  acc=[0.94810]
hidden nodes: 300, learning rate: 0.000300,  L2-weight: 0.003000,  acc=[0.94580]
hidden nodes: 300, learning rate: 0.000300,  L2-weight: 0.000000,  acc=[0.94540]
hidden nodes: 300, learning rate: 0.000100,  L2-weight: 0.100000,  acc=[0.92520]
hidden nodes: 300, learning rate: 0.000100,  L2-weight: 0.030000,  acc=[0.92360]
hidden nodes: 300, learning rate: 0.000100,  L2-weight: 0.010000,  acc=[0.92200]
hidden nodes: 300, learning rate: 0.000100,  L2-weight: 0.003000,  acc=[0.92290]
hidden nodes: 300, learning rate: 0.000100,  L2-weight: 0.000000,  acc=[0.92290]
hidden nodes: 400, learning rate: 0.010000,  L2-weight: 0.100000,  acc=[0.97810]
hidden nodes: 400, learning rate: 0.010000,  L2-weight: 0.030000,  acc=[0.98260]
hidden nodes: 400, learning rate: 0.010000,  L2-weight: 0.010000,  acc=[0.98270]
hidden nodes: 400, learning rate: 0.010000,  L2-weight: 0.003000,  acc=[0.98340]
hidden nodes: 400, learning rate: 0.010000,  L2-weight: 0.000000,  acc=[0.98190]
hidden nodes: 400, learning rate: 0.003000,  L2-weight: 0.100000,  acc=[0.97920]
hidden nodes: 400, learning rate: 0.003000,  L2-weight: 0.030000,  acc=[0.98010]
hidden nodes: 400, learning rate: 0.003000,  L2-weight: 0.010000,  acc=[0.98010]
hidden nodes: 400, learning rate: 0.003000,  L2-weight: 0.003000,  acc=[0.97970]
hidden nodes: 400, learning rate: 0.003000,  L2-weight: 0.000000,  acc=[0.97960]
hidden nodes: 400, learning rate: 0.001000,  L2-weight: 0.100000,  acc=[0.96840]
hidden nodes: 400, learning rate: 0.001000,  L2-weight: 0.030000,  acc=[0.97120]
hidden nodes: 400, learning rate: 0.001000,  L2-weight: 0.010000,  acc=[0.97110]
hidden nodes: 400, learning rate: 0.001000,  L2-weight: 0.003000,  acc=[0.96880]
hidden nodes: 400, learning rate: 0.001000,  L2-weight: 0.000000,  acc=[0.96920]
hidden nodes: 400, learning rate: 0.000300,  L2-weight: 0.100000,  acc=[0.95130]
hidden nodes: 400, learning rate: 0.000300,  L2-weight: 0.030000,  acc=[0.94960]
hidden nodes: 400, learning rate: 0.000300,  L2-weight: 0.010000,  acc=[0.94860]
hidden nodes: 400, learning rate: 0.000300,  L2-weight: 0.003000,  acc=[0.94820]
hidden nodes: 400, learning rate: 0.000300,  L2-weight: 0.000000,  acc=[0.94790]
hidden nodes: 400, learning rate: 0.000100,  L2-weight: 0.100000,  acc=[0.92650]
hidden nodes: 400, learning rate: 0.000100,  L2-weight: 0.030000,  acc=[0.92490]
hidden nodes: 400, learning rate: 0.000100,  L2-weight: 0.010000,  acc=[0.92580]
hidden nodes: 400, learning rate: 0.000100,  L2-weight: 0.003000,  acc=[0.92550]
hidden nodes: 400, learning rate: 0.000100,  L2-weight: 0.000000,  acc=[0.92550]
hidden nodes: 500, learning rate: 0.010000,  L2-weight: 0.100000,  acc=[0.97850]
hidden nodes: 500, learning rate: 0.010000,  L2-weight: 0.030000,  acc=[0.98280]
